name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
ProgressComplianceIndicator,niem-xs:boolean,boolean,,,,False,True,True if a reported progress is acceptable according to the terms set; false otherwise.
ProgressComplianceText,nc:TextType,TextType,,nc:ProgressComplianceAbstract,ProgressComplianceAbstract,False,True,A description of the compliance or non-compliance of a person with an activity.
ProgressPaymentAmount,nc:AmountType,AmountType,,,,False,True,An amount of money paid towards completion of a requirement.
ProgressTimeQuantityText,nc:TextType,TextType,,,,False,True,A quantity of time spent towards completion of a requirement.
Publication,nc:PublicationType,PublicationType,,,,False,True,"A collection of written, printed, illustrated, or blank sheets, made of paper, parchment, or other material, usually fastened together to hinge at one side."
PublicationAugmentationPoint,,,,,,True,False,An augmentation point for PublicationType.
PublicationAuthorText,nc:TextType,TextType,,,,False,True,A person who originates or gives existence to a publication.
PublicationDate,nc:DateType,DateType,,,,False,True,A date of a publication
PublicationISBNID,niem-xs:string,string,,,,False,True,"A unique, numerical, commercial book identifier."
PublicationISSNID,niem-xs:string,string,,,,False,True,"A unique, numerical, commercial periodical publication identifier."
PublicationLibraryClassificationIdentification,nc:IdentificationType,IdentificationType,,,,False,True,"A unique identification of a publication assigned by a library to classify, organize, and track publications, e.g. Dewey Decimal System Number."
PublicationPageText,nc:TextType,TextType,,,,False,True,A data element for page or page numbers on which a publication is appeared in a periodical
PublicationPublisherText,nc:TextType,TextType,,,,False,True,An owner of the copyright for the publication.
PublicationSubjectText,nc:TextType,TextType,,,,False,True,An area of knowledge.
PublicationSubscriberPersonAssociation,nc:ItemEntityAssociationType,ItemEntityAssociationType,,,,False,True,"A relationship between a person and a publication they subscribe to, or have read or are reading."
PublicationTitleText,nc:TextType,TextType,,,,False,True,A name given to a publication.
PublicService,nc:PublicServiceType,PublicServiceType,,,,False,True,"A set of deeds and acts performed by or on behalf of a public agency for the benefit of a citizen, a business or another public agency."
PublicServiceAugmentationPoint,,,,,,True,False,An augmentation point for type nc:PublicServiceType
PublicServiceAvailabilitySchedule,nc:ScheduleType,ScheduleType,,,,False,True,A time frame in which a public service is available.
PublicServiceCategoryAbstract,,,,,,True,False,A data concept for a different public services category.
