name,base,baseLocal,childCount,children,documentation,kind
PreviousActivityAssociationType,nc:RelatedActivityAssociationType,RelatedActivityAssociationType,2,"[""PreviousActivity"", ""PreviousActivityAssociationAugmentationPoint""]",A data type for an association between an activity and a previous activity.,complexContent-extension
ProgramType,nc:ActivityType,ActivityType,14,"[""ProgramPerson"", ""ProgramAction"", ""ProgramCapacityQuantity"", ""ProgramCondition"", ""ProgramFacility"", ""ProgramPubliclyRunIndicator"", ""ProgramPurposeText"", ""ProgramReferral"", ""ProgramAdministrator"", ""ProgramRelease"", ""ProgramSupervisor"", ""ProgramResidentialIndicator"", ""ProgramSupervisedIndicator"", ""ProgramAugmentationPoint""]","A data type for a set of projects, activities, or services intended to meet a need.",complexContent-extension
ProgressType,nc:ActivityType,ActivityType,5,"[""ProgressComplianceIndicator"", ""ProgressComplianceAbstract"", ""ProgressPaymentAmount"", ""ProgressTimeQuantityText"", ""ProgressAugmentationPoint""]",A data type for a set of changes or advancements which bring someone closer to completing something.,complexContent-extension
ProperNameTextType,nc:TextType,TextType,0,[],"A data type for a word or phrase by which a person or thing is known, referred, or addressed.",simpleContent-wrapper
PublicationType,nc:DocumentType,DocumentType,10,"[""PublicationAuthorText"", ""PublicationDate"", ""PublicationISBNID"", ""PublicationISSNID"", ""PublicationLibraryClassificationIdentification"", ""PublicationPageText"", ""PublicationPublisherText"", ""PublicationSubjectText"", ""PublicationTitleText"", ""PublicationAugmentationPoint""]","A data type for a collection of written, printed, illustrated, or blank sheets, made of paper, parchment, or other material, usually fastened together to hinge at one side.",complexContent-extension
PublicServiceType,structures:ObjectType,ObjectType,14,"[""PublicServiceName"", ""PublicServiceDescriptionText"", ""PublicServiceCategoryAbstract"", ""PublicServiceLanguage"", ""PublicServiceWebsiteURI"", ""PublicServiceChannelAbstract"", ""PublicServiceLocation"", ""PublicServiceRequiredService"", ""PublicServiceRelatedService"", ""PublicServiceInputResourceDocument"", ""PublicServiceOutputResourceDocument"", ""PublicServiceRelatedLocation"", ""PublicServiceAvailabilitySchedule"", ""PublicServiceAugmentationPoint""]","A data type for a set of deeds and acts performed by or on behalf of a public agency for the benefit of a citizen, a business or another public agency.",complexContent-extension
QuantityType,nc:NumericType,NumericType,0,[],A data type for a count or tally.,simpleContent-wrapper
QuarterIDType,nc:QuarterIDSimpleType,QuarterIDSimpleType,0,[],A data type for an identifier of a three-month period in a calendar or fiscal year.,simpleContent-wrapper
RealEstateType,nc:ItemType,ItemType,4,"[""RealEstateAcreageText"", ""RealEstateBoundaryDescriptionText"", ""RealEstateAttachedFacility"", ""RealEstateAugmentationPoint""]",A data type for a piece of land and any permanent structures and natural resources on it.,complexContent-extension
RecommendationType,structures:ObjectType,ObjectType,8,"[""RecommendationDescriptionText"", ""RecommendationEntity"", ""RecommendationSubjectText"", ""RecommendationDate"", ""RecommendationCategoryAbstract"", ""RecommendationComment"", ""RecommendationText"", ""RecommendationAugmentationPoint""]",A data type for a suggestion or proposal as to the best course of action.,complexContent-extension
